estado_inicial,movimientos,algoritmo_busqueda,heuristica,tiempo_resolucion,tamaño_frontera,gano
"[0, 1, 5, 6, 2, 3, 4, 7, 8]","['down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down']",codicioso,manhattan,0.031049728393554688,192,True
"[4, 1, 6, 2, 8, 5, 3, 0, 7]","['left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'down']",codicioso,manhattan,0.04953932762145996,128,True
"[8, 3, 5, 0, 1, 6, 4, 7, 2]","['down', 'right', 'up', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'down']",codicioso,manhattan,0.026540756225585938,81,True
"[5, 8, 1, 2, 6, 7, 0, 3, 4]","['up', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down']",codicioso,manhattan,0.010024309158325195,13,True
"[8, 4, 1, 2, 7, 6, 0, 5, 3]","['right', 'up', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'down']",codicioso,manhattan,0.03922080993652344,150,True
"[0, 5, 3, 6, 2, 8, 1, 7, 4]","['down', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down']",codicioso,manhattan,0.03523397445678711,126,True
"[8, 1, 6, 5, 4, 3, 7, 2, 0]","['left', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right']",codicioso,manhattan,0.032147884368896484,77,True
"[0, 7, 4, 3, 5, 8, 1, 2, 6]","['down', 'right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down']",codicioso,manhattan,0.03041362762451172,80,True
"[8, 7, 2, 5, 6, 0, 1, 3, 4]","['left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down']",codicioso,manhattan,0.053092241287231445,175,True
"[6, 1, 4, 8, 7, 0, 3, 5, 2]","['up', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'right']",codicioso,manhattan,0.009946346282958984,16,True
"[0, 7, 2, 6, 3, 1, 8, 4, 5]","['down', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down']",codicioso,manhattan,0.04877138137817383,106,True
"[4, 3, 7, 8, 1, 6, 5, 2, 0]","['left', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down']",codicioso,manhattan,0.051824092864990234,164,True
"[5, 4, 1, 8, 2, 6, 3, 0, 7]","['up', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'down']",codicioso,manhattan,0.03918719291687012,101,True
"[3, 2, 4, 8, 5, 7, 6, 1, 0]","['up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down']",codicioso,manhattan,0.0471954345703125,117,True
"[1, 2, 7, 4, 8, 6, 3, 0, 5]","['left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down']",codicioso,manhattan,0.031690359115600586,132,True
"[7, 8, 4, 2, 3, 5, 1, 6, 0]","['left', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down']",codicioso,manhattan,0.04364466667175293,153,True
